Sample,Sample#,ElapsedHours,Date collected,Time collected,DateTime,Chlorophyll_RFU,Depth_m,fDOM_RFU,ODO_PerLocSat,ODO_mg_L,SpCond_uS_cm,TAL_PC_RFU,pH,Light_lux,Turbidity_FNU,Temp_C,Ca_mg_L,Fe_mg_L,Mg_mg_L,K_mg_L,P_mg_L,Si_mg_L,Na_mg_L,S_mg_L,DIC_mg_L_C,DOC_mg_L_C,Sulfate_mg_L,Chloride_mg_L,Phosphate_mg_L,Al_ug_L,Sb_ug_L,As_ug_L,Ba_ug_L,Be_ug_L,Cd_ug_L,Cr_ug_L,Cu_ug_L,Mn_ug_L,Pb_ug_L,Se_ug_L,Tl_ug_L,CIBE_%,Calcite_log_QoverK,Dolomite_log_QoverK,Diss_O2_bar,Diss_CO2_bar
SL-01,0,0,3/31/2023,16:00,3/31/2023 16:00,0.58,0.331,7.95,119.7,11.66,126.7,0.53,8.15,10695.68,2.18,15.634,16.9,0.1,4.15,0.49,0.03,2.93,1.21,2.44,10.28,1.22,8.6,1.61,2.38,5.45,0.03,0.5,19.82,0.01,0.11,0.05,1.14,5.02,0.16,0,0.49,5.45%,-0.2644,-0.06921,0.2376,3.27E-04
SL-02,1,3,3/31/2023,19:00,3/31/2023 19:00,0.8,0.323,7.88,117.1,11.35,126.4,0.51,8.03,25.98,2.16,15.856,17.3,0.14,4.27,0.57,0.01,3.08,1.77,2.21,10.21,0.29,7.96,2.27,2.33,5.52,0.01,0.69,23.08,0.02,0.03,0.04,0.82,1.18,0.04,0,0.42,8.10%,-0.3753,-0.2876,0.2323,4.28E-04
SL-03,2,6,3/31/2023,22:00,3/31/2023 22:00,0.69,0.306,7.84,109.9,10.64,126.9,0.49,7.8,0,2.04,15.907,17.9,0.14,4.33,0.56,0,3.15,1.26,2.02,10.66,0.09,7.61,1.62,2.28,4.74,0.01,0.62,21.32,0.01,0.03,0.01,0.65,1.69,0.03,0,0.71,8.96%,-0.5761,-0.698,0.218,7.48E-04
SL-04,3,9,4/1/2023,1:00,4/1/2023 1:00,0.68,0.314,7.8,103.7,10,127.4,0.51,7.65,0,2.03,16.085,18.8,0.17,4.48,0.61,0,3.23,1.38,2.1,10.93,1.56,7.77,1.79,2.27,5.39,0.04,0.6,23.67,0.02,0.04,0.07,1.35,6.39,0.03,0.01,0.24,10.74%,-0.6991,-0.9493,0.2055,0.001069
SL-05,4,12,4/1/2023,4:00,4/1/2023 4:00,0.44,0.31,7.75,85.5,8.27,146.7,0.46,7.36,0,0.76,15.971,18.4,0.15,4.37,0.56,0.01,3.1,1.34,2.06,10.75,1.92,7.72,1.69,2.26,5.38,0.05,0.59,20.68,0.01,0.03,0.05,0.88,7.85,0.02,0.01,0.31,12.54%,-1.026,-1.605,0.1696,0.001952
SL-06,5,15,4/1/2023,7:00,4/1/2023 7:00,0.45,0.316,7.87,87.1,8.51,141,0.5,7.37,744.96,1.04,15.499,17.8,0.12,4.23,0.5,0.01,3.05,1.59,1.98,10.27,2.36,7.41,1.95,2.26,3.91,0.06,0.6,21.28,0.01,0.01,0.11,0.75,9.66,0.03,0.01,0.36,12.97%,-1.054,-1.665,0.173,0.001815
SL-07,6,18,4/1/2023,10:00,4/1/2023 10:00,0.43,0.322,7.91,90.5,8.81,143.5,0.51,7.33,14551.04,1.33,15.626,17.1,0.16,4.08,0.53,0,3.01,1.48,2.11,9.76,0.93,7.84,1.94,2.23,6.66,0.02,0.54,20.13,0.01,0.03,0.08,0.75,3.79,0.04,0,0.65,12.87%,-1.134,-1.823,0.1795,0.001879
SL-08,7,21,4/1/2023,13:00,4/1/2023 13:00,0.33,0.342,7.51,114.8,10.8,146.7,0.36,7.84,13455.36,0.89,17.27,17.5,0.18,4.13,0.58,0.01,3.01,1.65,2.11,9.9,2.32,7.81,2.19,2.25,7.71,0.06,0.52,19.87,0,0.03,0.05,0.89,9.49,0.04,0.01,0.43,9.96%,-0.5559,-0.6598,0.227,6.48E-04
SL-09,8,24,4/1/2023,16:00,4/1/2023 16:00,0.47,0.369,7.5,122,11.17,143.5,0.35,8.12,8929.28,0.89,18.634,17.8,0.19,4.21,0.48,0,3.04,2.38,2.02,9.89,8.49,7.61,3.07,2.25,7.14,0.13,0.57,17.02,0.01,0.03,0.07,0.78,34.79,0.07,0.03,0.22,10.04%,-0.2468,-0.0315,0.2407,3.50E-04
SL-10,9,27,4/1/2023,19:00,4/1/2023 19:00,0.54,0.401,7.67,117.8,11.13,137.7,0.43,8.21,308.16,0.89,17.068,17.8,0.18,4.2,0.55,0,3.06,1.38,2.13,9.97,6.39,7.82,1.87,2.25,8.13,0.08,0.55,19,0.01,0.02,0.05,0.79,26.19,0.04,0.03,0.29,9.26%,-0.1749,0.1017,0.233,2.82E-04
SL-11,10,30,4/1/2023,22:00,4/1/2023 22:00,0.5,0.424,7.73,115.9,11.11,131.8,0.46,8.17,0,1.35,16.396,19.1,0.21,4.4,0.66,0.01,3.16,1.66,2.06,10.57,21.77,7.81,2.14,2.28,5.75,0.22,0.52,23.48,0,0.03,0.05,0.8,89.26,0.03,0.08,0.38,10.37%,-0.1716,0.09363,0.2297,3.24E-04
SL-12,11,33,4/2/2023,1:00,4/2/2023 1:00,0.49,0.426,7.89,102.8,10,140,0.48,7.71,0,0.96,15.689,17.7,0.29,4.52,0.6,0,3.25,1.41,1.92,11.04,52.26,7.35,1.75,2.27,6.74,0.4,0.7,22.09,0.01,0.03,0.07,0.88,214.24,0.04,0.68,0.77,8.59%,-0.6626,-0.8487,0.204,9.43E-04
SL-13,12,36,4/2/2023,4:00,4/2/2023 4:00,0.51,0.424,7.66,103.6,10.19,130,0.53,7.83,0,1.37,15.142,19.5,0.3,4.52,0.56,-0.01,3.25,1.83,1.92,11.12,70.53,7.37,2.49,2.27,7.22,0.39,1.25,20.95,0.01,0.08,0.09,0.86,289.14,0.11,0.51,0.38,10.75%,-0.5042,-0.5772,0.2057,7.21E-04
SL-14,13,39,4/2/2023,7:00,4/2/2023 7:00,0.59,0.427,7.65,98.2,9.79,130,0.56,7.68,589.28,1.35,14.579,19.6,0.31,4.53,0.65,0,3.28,1.47,1.91,11.02,78.49,7.29,2.01,2.26,7.48,0.38,0.85,22.47,0.02,0.05,0.07,1.03,321.81,0.08,0.66,0.7,12.23%,-0.6689,-0.9116,0.1955,9.88E-04
SL-15,14,42,4/2/2023,10:00,4/2/2023 10:00,0.41,0.432,7.19,102.5,9.9,129.6,0.5,7.75,16773.12,1.08,16.048,19.4,0.29,4.48,0.61,0.01,3.23,1.63,1.92,10.94,70.31,7.4,2.13,2.26,7.34,0.18,0.69,17.71,0.01,0.03,0.07,1.11,288.23,0.03,0.43,0.4,11.58%,-0.5822,-0.7293,0.2033,8.58E-04
SL-16,15,45,4/2/2023,13:00,4/2/2023 13:00,0.45,0.405,7.35,107.3,10.21,134,0.4,7.79,16363.52,1.17,16.759,18.8,0.25,4.39,0.56,0.01,3.15,1.94,1.99,10.58,47.32,7.4,2.66,2.25,26.65,0.08,0.68,18.88,0.03,0.05,0.07,0.75,193.99,0.12,0.09,0.36,11.11%,-0.5578,-0.6711,0.2125,7.67E-04
SL-17,16,48,4/2/2023,16:00,4/2/2023 16:00,0.77,0.37,7.66,117.1,11.14,130.2,0.48,8.13,8192,2.36,16.745,15.7,0.24,3.72,0.49,0.01,3.08,1.25,2.5,8.28,0.94,8.66,1.76,2.25,21.73,0.02,0.43,17.12,0.02,0.02,0.11,0.8,3.86,0.06,0,0.56,9.47%,-0.3888,-0.3272,0.2318,2.81E-04
SL-18,17,51,4/2/2023,19:00,4/2/2023 19:00,0.54,0.364,6.81,107,9.9,130.3,0.36,7.77,329.12,0.37,18.089,17.2,0.09,4.03,0.56,0,3.03,1.32,2.02,9.21,0.31,7.64,1.74,2.25,12.21,0.01,0.44,14.36,0.01,0.07,0.19,1.44,1.27,0.33,0,0.36,12.26%,-0.6528,-0.852,0.2112,7.13E-04
SL-19,18,54,4/2/2023,22:00,4/2/2023 22:00,0.54,0.356,7.47,111.1,10.48,137.3,0.43,7.8,0,0.73,17.177,17.5,0.11,4.05,0.52,0,3.06,1.28,1.95,9.21,0.36,7.5,1.66,2.24,10.43,0.01,0.41,15.6,0,0.01,0.1,0.8,1.49,0.01,0,0.45,12.97%,-0.6278,-0.8129,0.2199,6.59E-04
SL-20,19,57,4/3/2023,1:00,4/3/2023 1:00,0.56,0.337,7.22,105.1,9.98,131.2,0.46,7.76,0,0.95,16.845,17.7,0.11,4.1,0.56,0,3.04,1.38,1.97,9.42,0.39,7.48,1.81,2.24,8.18,0.01,0.5,15.23,0.01,0.02,0.12,0.94,1.61,0.01,0,0.43,12.87%,-0.6599,-0.8787,0.2081,7.33E-04
SL-21,20,60,4/3/2023,4:00,4/3/2023 4:00,0.56,0.33,7.49,107.1,10.24,132.1,0.42,7.8,0,0.65,16.503,18.5,0.12,4.32,0.55,0,3,1.37,1.95,9.78,0.31,7.53,1.71,2.27,6.84,0.01,0.51,17.58,0.01,0.01,0.14,0.85,1.25,0.03,0,0.5,13.52%,-0.5901,-0.7376,0.2121,6.92E-04
SL-22,21,63,4/3/2023,7:00,4/3/2023 7:00,0.59,0.332,7.68,108.6,10.44,131.7,0.47,7.87,367.2,0.55,16.266,19.2,0.16,4.48,0.57,0.01,3.05,1.36,1.91,10.06,0.47,7.35,1.77,2.26,9.86,0.01,0.48,18.07,0,0.01,0.14,1.13,1.94,0.02,0,0.36,14.03%,-0.4947,-0.5485,0.2153,6.06E-04
SL-23,22,66,4/3/2023,10:00,4/3/2023 10:00,0.64,0.348,7.34,104.5,10.03,132,0.42,7.79,3694.08,0.56,16.303,19.4,0.14,4.51,0.53,0.01,3.12,1.43,1.95,10.1,0.31,7.56,1.74,2.26,7.33,0.01,0.47,17.46,0,0.03,0.13,1.17,1.28,0.12,0,0.33,14.55%,-0.5707,-0.7019,0.207,7.28E-04
SL-24,23,69,4/3/2023,13:00,4/3/2023 13:00,0.58,0.345,7.2,110,10.51,132.2,0.42,7.95,2816,0.29,16.522,17.7,0.14,4.19,0.57,0,3.14,1.39,2.68,9.69,81.04,9.08,1.8,2.25,19.64,0.44,0.48,26.03,0.01,0.03,0.12,0.97,332.24,0.07,0.72,0.43,9.81%,-0.4598,-0.4706,0.2178,4.90E-04
