DateTime,Light_lux,Temp_C,Chlorophyll_RFU,Depth_m,fDOM_RFU,ODO_mg_L,SpCond_uS_cm,TAL_PC_RFU,pH,Turbidity_FNU
3/27/2023 16:30,5173.76,19.194,0.45,0.411,7.42,9.98,120.3,0.29,7.55,2.96
3/27/2023 16:35,5335.04,19.131,0.4,0.391,7.52,10.04,120.4,0.24,7.54,2.59
3/27/2023 16:40,3784.96,19.114,0.49,0.391,7.6,10.01,120.6,0.29,7.51,1.69
3/27/2023 16:45,8140.8,19.212,0.37,0.392,7.48,10.22,120.4,0.29,7.56,1.81
3/27/2023 16:50,6548.48,19.373,0.32,0.392,7.29,10.59,120.9,0.23,7.69,1.27
3/27/2023 16:55,5480.96,19.402,0.34,0.392,7.3,10.67,120.8,0.22,7.75,1.26
3/27/2023 17:00,7907.84,19.374,0.32,0.393,7.36,10.66,120.6,0.24,7.77,1.36
3/27/2023 17:05,6228.48,19.347,0.33,0.393,7.35,10.62,120.7,0.26,7.74,1.13
3/27/2023 17:10,6254.08,19.482,0.32,0.393,7.23,10.7,120.7,0.26,7.79,1.18
3/27/2023 17:15,5918.72,19.543,0.33,0.392,7.28,10.7,120.6,0.24,7.8,1.2
3/27/2023 17:20,4629.76,19.539,0.32,0.394,7.2,10.74,120.8,0.21,7.82,1.1
3/27/2023 17:25,4538.88,19.529,0.27,0.394,7.28,10.81,120.8,0.22,7.84,1.05
3/27/2023 17:30,3651.84,19.451,0.3,0.395,7.31,10.93,120.9,0.47,7.88,1.15
3/27/2023 17:35,1853.44,19.233,0.33,0.395,7.59,11.16,120.5,0.24,7.92,1.63
3/27/2023 17:40,1751.68,19.063,0.35,0.395,7.53,10.87,120.5,0.24,7.76,2.08
3/27/2023 17:45,1669.12,19.035,0.35,0.395,7.44,10.58,120.5,0.28,7.72,2.03
3/27/2023 17:50,1614.08,18.842,0.36,0.396,7.65,11.23,120.1,0.26,7.91,2.18
3/27/2023 17:55,1560.32,18.708,0.35,0.398,7.58,10.56,119,0.28,7.76,2.02
3/27/2023 18:00,1552.64,18.755,0.38,0.399,7.64,10.79,120.5,0.29,7.77,1.73
3/27/2023 18:05,1540.48,18.958,0.33,0.4,7.53,10.55,121,0.24,7.78,1.49
3/27/2023 18:10,1448.96,18.869,0.35,0.401,7.56,10.44,121.1,0.26,7.74,1.54
3/27/2023 18:15,1350.4,18.815,0.35,0.402,7.52,10.36,121.4,0.27,7.7,1.43
3/27/2023 18:20,1217.92,18.845,0.36,0.404,7.5,10.64,121,0.28,7.76,1.28
3/27/2023 18:25,1171.84,18.772,0.38,0.406,7.52,10.52,121.1,0.28,7.74,1.45
3/27/2023 18:30,1095.04,18.617,0.38,0.406,7.48,10.25,121.3,0.3,7.64,1.73
3/27/2023 18:35,962.56,18.536,0.43,0.407,7.45,10.06,121.4,0.31,7.58,1.91
3/27/2023 18:40,829.12,18.506,0.49,0.408,7.42,10.07,121.1,0.29,7.59,2.47
3/27/2023 18:45,705.92,18.438,0.47,0.408,7.44,10.09,121.2,0.39,7.59,2.19
3/27/2023 18:50,547.52,18.323,0.42,0.409,7.49,10.02,121,0.31,7.58,1.92
3/27/2023 18:55,426.56,18.343,0.43,0.41,7.44,10.02,120.8,0.31,7.58,2.19
3/27/2023 19:00,291.76,18.279,0.9,0.41,7.45,10.06,120.6,0.45,7.59,2.31
3/27/2023 19:05,177.28,18.186,0.46,0.411,7.46,9.92,120.4,0.33,7.56,2.01
3/27/2023 19:10,96.64,18.214,0.45,0.412,7.53,10.07,120.3,0.31,7.59,2.56
3/27/2023 19:15,42.2,18.073,0.43,0.412,7.57,10.03,120.2,0.34,7.58,2.2
3/27/2023 19:20,14.99,18.102,0.45,0.413,7.58,10.02,120.1,0.35,7.59,2.4
3/27/2023 19:25,4.44,18.133,0.44,0.413,7.6,10.25,119.9,0.36,7.63,2.1
3/27/2023 19:30,1.01,18.054,0.44,0.415,7.63,10.29,119.6,0.37,7.65,2.29
3/27/2023 19:35,0,17.918,0.44,0.416,7.67,10.34,119.7,0.36,7.65,2.61
3/27/2023 19:40,0,17.84,0.44,0.417,7.7,10.07,119.7,0.34,7.6,2.13
3/27/2023 19:45,0,17.833,0.41,0.417,7.68,10.07,119.6,0.32,7.6,2.2
3/27/2023 19:50,0,17.759,0.43,0.417,7.76,9.96,119.6,0.33,7.57,2.06
3/27/2023 19:55,0,17.789,0.43,0.418,7.74,9.88,119.5,0.39,7.56,2.23
3/27/2023 20:00,0,17.656,0.45,0.419,7.74,9.95,119.5,0.37,7.55,2.03
3/27/2023 20:05,0,17.709,0.48,0.42,7.71,10.08,119.3,0.39,7.58,2.56
3/27/2023 20:10,0,17.685,0.43,0.42,7.71,9.9,119.2,0.37,7.56,2.21
3/27/2023 20:15,0,17.759,0.46,0.421,7.74,10.04,119.2,0.35,7.59,2.15
3/27/2023 20:20,0,17.751,0.42,0.422,7.74,10.08,119.2,0.37,7.6,2.24
3/27/2023 20:25,0,17.724,0.44,0.422,7.76,10.24,119.1,0.36,7.65,2.02
3/27/2023 20:30,0,17.743,0.42,0.423,7.77,10.31,118.9,0.33,7.67,2.11
3/27/2023 20:35,0,17.688,0.44,0.423,7.77,10.26,119,0.34,7.66,2.19
3/27/2023 20:40,0,17.676,0.4,0.424,7.78,10.24,118.8,0.33,7.66,2.25
3/27/2023 20:45,0,17.696,0.43,0.424,7.78,10.28,119,0.32,7.66,2.2
3/27/2023 20:50,0,17.73,0.39,0.425,7.76,10.31,119,0.33,7.67,2.07
3/27/2023 20:55,0,17.6,0.44,0.425,7.79,10.3,118.9,0.35,7.68,2.15
3/27/2023 21:00,0,17.546,0.43,0.427,7.82,10.17,119,0.35,7.65,2.2
3/27/2023 21:05,0,17.364,0.42,0.428,7.76,10.06,119.2,0.36,7.61,2.18
3/27/2023 21:10,0,17.404,0.46,0.431,7.8,9.94,119.1,1.41,7.58,2.25
3/27/2023 21:15,0,17.279,0.48,0.432,7.78,9.83,119.3,0.44,7.54,2.58
3/27/2023 21:20,0,17.228,0.48,0.433,7.74,9.72,119.3,0.38,7.51,2.98
3/27/2023 21:25,0,17.197,0.57,0.435,7.76,9.78,119,0.42,7.51,3.76
3/27/2023 21:30,0,17.182,0.5,0.435,7.81,9.62,118.9,0.46,7.48,3.3
3/27/2023 21:35,0,17.092,0.51,0.436,7.79,9.6,119,0.4,7.46,3.11
3/27/2023 21:40,0,16.981,0.47,0.436,7.81,9.52,118.9,0.4,7.44,3.23
3/27/2023 21:45,0,16.974,0.48,0.437,7.87,9.47,118.7,0.4,7.45,2.96
3/27/2023 21:50,0,16.847,0.5,0.439,7.87,9.52,118.8,0.4,7.44,3.07
3/27/2023 21:55,0,16.96,0.47,0.439,7.89,9.52,118.6,0.4,7.45,2.46
3/27/2023 22:00,0,16.923,0.46,0.44,7.91,9.56,118.6,0.4,7.45,2.57
3/27/2023 22:05,0,16.907,0.48,0.44,7.95,9.59,118.4,0.42,7.47,2.5
3/27/2023 22:10,0,16.816,0.47,0.439,7.99,9.51,118.3,0.42,7.46,2.57
3/27/2023 22:15,0,16.8,0.44,0.44,7.99,9.53,118.2,0.42,7.46,2.49
3/27/2023 22:20,0,16.752,0.46,0.44,8,9.56,118.5,0.46,7.46,2.66
3/27/2023 22:25,0,16.714,0.46,0.442,8,9.54,118.2,0.4,7.46,2.63
3/27/2023 22:30,0,16.737,0.49,0.441,8.02,9.57,118.1,0.43,7.47,2.58
3/27/2023 22:35,0,16.75,0.45,0.441,8.04,9.67,118,0.43,7.5,3.36
3/27/2023 22:40,0,16.821,0.46,0.441,8.04,9.68,118.2,0.43,7.5,2.47
3/27/2023 22:45,0,16.677,0.44,0.442,8.05,9.73,118.4,0.44,7.5,2.4
3/27/2023 22:50,0,16.543,0.45,0.441,8.07,9.57,118.1,0.44,7.48,2.43
3/27/2023 22:55,0,16.568,0.46,0.44,8.06,9.6,118.2,0.47,7.48,2.53
3/27/2023 23:00,0,16.553,0.49,0.441,8.05,9.63,118,0.46,7.48,2.59
3/27/2023 23:05,0,16.598,0.52,0.443,8.07,9.68,118.1,0.44,7.5,2.47
3/27/2023 23:10,0,16.551,0.47,0.441,8.07,9.71,118.1,0.45,7.51,2.49
3/27/2023 23:15,0,16.438,0.48,0.441,8.11,9.72,118.1,0.47,7.51,2.33
3/27/2023 23:20,0,16.411,0.46,0.44,8.1,9.74,118.1,0.42,7.51,2.51
3/27/2023 23:25,0,16.5,0.46,0.44,8.09,9.74,118.2,0.43,7.51,2.47
3/27/2023 23:30,0,16.389,0.45,0.439,8.1,9.79,118.4,0.41,7.52,2.41
3/27/2023 23:35,0,16.34,0.47,0.439,8.14,9.72,118.1,0.45,7.51,2.4
3/27/2023 23:40,0,16.323,0.46,0.439,8.14,9.78,118.3,0.44,7.52,2.46
3/27/2023 23:45,0,16.286,0.44,0.439,8.16,9.82,118.2,0.43,7.53,2.49
3/27/2023 23:50,0,16.26,0.48,0.439,8.13,9.82,118.3,0.45,7.53,3.75
3/27/2023 23:55,0,16.198,0.44,0.439,8.16,9.81,118.3,0.43,7.53,2.55
3/28/2023 0:00,0,16.176,0.46,0.439,8.19,9.83,118.4,0.45,7.53,2.54
3/28/2023 0:05,0,16.228,0.5,0.439,8.18,9.79,118.4,0.47,7.53,2.61
3/28/2023 0:10,0,16.109,0.52,0.439,8.19,9.84,118.4,0.46,7.53,2.59
3/28/2023 0:15,0,16.066,0.44,0.438,8.19,9.86,118.6,0.46,7.53,2.4
3/28/2023 0:20,0,16.075,0.43,0.439,8.19,9.88,118.7,0.49,7.53,2.38
3/28/2023 0:25,0,16.048,0.46,0.439,8.19,9.85,118.8,0.46,7.53,2.37
3/28/2023 0:30,0,16.031,0.45,0.44,8.2,9.88,118.7,0.49,7.54,2.35
3/28/2023 0:35,0,15.982,0.48,0.438,8.21,9.88,118.8,0.47,7.53,2.43
3/28/2023 0:40,0,16.009,0.46,0.438,8.21,9.89,118.8,0.47,7.53,2.33
3/28/2023 0:45,0,16.007,0.46,0.439,8.2,9.9,118.9,0.45,7.53,2.5
3/28/2023 0:50,0,15.967,0.46,0.441,8.2,9.83,119,0.5,7.52,2.41
3/28/2023 0:55,0,15.937,0.43,0.442,8.22,9.92,119,0.47,7.53,2.35
3/28/2023 1:00,0,15.861,0.43,0.442,8.23,9.85,119,0.46,7.52,2.47
3/28/2023 1:05,0,15.917,0.47,0.443,8.19,9.88,119.1,0.46,7.53,2.39
3/28/2023 1:10,0,15.818,0.41,0.444,8.21,9.85,119.3,0.48,7.52,2.35
3/28/2023 1:15,0,15.819,0.43,0.444,8.21,9.83,119.2,0.48,7.52,2.39
3/28/2023 1:20,0,15.816,0.45,0.442,8.21,9.87,119.4,0.46,7.52,2.35
3/28/2023 1:25,0,15.765,0.44,0.441,8.23,9.84,119.2,0.49,7.52,2.29
3/28/2023 1:30,0,15.766,0.43,0.441,8.22,9.86,119.2,0.48,7.52,2.4
3/28/2023 1:35,0,15.746,0.43,0.44,8.21,9.87,119.3,0.48,7.53,2.23
3/28/2023 1:40,0,15.757,0.46,0.441,8.23,9.83,119.4,0.47,7.52,2.47
3/28/2023 1:45,0,15.736,0.46,0.441,8.21,9.85,119.4,0.48,7.52,2.22
3/28/2023 1:50,0,15.707,0.42,0.44,8.21,9.83,119.6,0.48,7.52,2.31
3/28/2023 1:55,0,15.681,0.49,0.44,8.21,9.79,119.7,0.5,7.51,2.23
3/28/2023 2:00,0,15.736,0.44,0.441,8.2,9.77,119.8,0.49,7.51,2.27
3/28/2023 2:05,0,15.732,0.47,0.44,8.21,9.78,119.8,0.47,7.51,2.45
3/28/2023 2:10,0,15.69,0.48,0.438,8.19,9.75,120,0.5,7.5,2.14
3/28/2023 2:15,0,15.645,0.44,0.437,8.19,9.77,120,0.49,7.51,2.3
3/28/2023 2:20,0,15.619,0.41,0.438,8.23,9.76,119.9,0.46,7.5,2.24
3/28/2023 2:25,0,15.562,0.52,0.438,8.21,9.76,120,0.49,7.5,2.39
3/28/2023 2:30,0,15.567,0.43,0.438,8.21,9.76,120,0.5,7.5,2.28
3/28/2023 2:35,0,15.564,0.44,0.439,8.22,9.74,119.9,0.5,7.5,2.31
3/28/2023 2:40,0,15.565,0.4,0.439,8.22,9.74,120.1,0.46,7.5,2.4
3/28/2023 2:45,0,15.565,0.45,0.438,8.22,9.72,120.1,0.47,7.49,2.38
3/28/2023 2:50,0,15.471,0.48,0.435,8.24,9.73,119.9,0.47,7.49,2.27
3/28/2023 2:55,0,15.448,0.46,0.435,8.25,9.72,120,0.49,7.49,2.46
3/28/2023 3:00,0,15.386,0.5,0.434,8.26,9.73,119.9,0.5,7.49,2.15
3/28/2023 3:05,0,15.348,0.48,0.433,8.24,9.73,120,0.5,7.5,2.2
3/28/2023 3:10,0,15.312,0.45,0.432,8.27,9.72,120,0.52,7.49,2.33
3/28/2023 3:15,0,15.325,0.44,0.433,8.28,9.71,120,0.51,7.49,2.29
3/28/2023 3:20,0,15.258,0.48,0.433,8.28,9.71,120.1,0.52,7.49,2.18
3/28/2023 3:25,0,15.257,0.44,0.434,8.28,9.7,120,0.5,7.49,2.24
